SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,LEVEL,STARS,GAP_REDUCTION,FED_CLASS,PROFICIENCY_RATE,PROFICIENCY_RATING,SEPERATE_RATE,SEPERATE_RATING,GROWTH_RATE,GROWTH_RATING,ELP_GROWTH,TRANSITION_RATE,TRANSITION_RATING,TRANSITION_ELP,GRAD_RATE,GRAD_RATING,OVERALL_SCORE,REASON,GAP_DEMO,FEED_SCHOOL,PROF_WGHT,SEP_WGHT,GROWTH_WGHT,TRANS_WGHT,GRAD_WGHT
20182019,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,HS,5,N,,98.4,Very High,71.5,High,.,,,95.7,Very High,,98.2,Very High,93.3,,,,46.1,11.2,.,29.9,6.1
20182019,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,NKCES,905,ES,4,N,,91.4,Very High,78.8,High,54.7,Low,,.,,,.,,74.6,,,,33.3,21.3,19.9,.,.
20182019,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,NKCES,905,HS,5,N,,98.4,Very High,71.5,High,.,,,95.7,Very High,,98.2,Very High,93.3,,,,46.1,11.2,.,29.9,6.1
20182019,059,KENTON,026,Beechwood Independent,,---District Total---,026,,,NKCES,905,MS,4,N,,87.9,Very High,78.1,High,47.1,Low,,.,,,.,,70.4,,,,32.0,21.2,17.2,.,.
20182019,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,MS,5,N,,90.9,Very High,84.2,Very High,66.3,Very High,,.,,,.,,80.1,,,,33.1,22.8,24.2,.,.
20182019,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,ES,3,N,,66.6,Low,71.5,Medium,66.1,High,,.,,,.,,67.7,,,,24.3,19.4,24.1,.,.
20182019,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,HS,2,N,,50.0,Low,65.0,Medium,.,,,67.8,Low,,97.1,Very High,60.9,,,,23.4,10.2,.,21.2,6.1
20182019,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,MS,4,N,,78.3,High,67.6,Medium,61.1,Very High,,.,,,.,,69.1,,,,28.5,18.3,22.3,.,.
20182019,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,ES,4,N,,79.2,High,73.9,High,72.8,Very High,,.,,,.,,75.4,,,,28.9,20.0,26.5,.,.
20182019,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,ES,2,N,,50.3,Very Low,56.4,Low,54.6,Low,,.,,,.,,53.5,,,,18.3,15.3,19.9,.,.
20182019,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,MS,4,N,,83.9,High,69.7,Medium,56.5,Medium,,.,,,.,,70.1,,,,30.6,18.9,20.6,.,.
20182019,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,MS,4,N,,80.6,High,71.0,High,60.0,High,,.,,,.,,70.5,,,,29.4,19.2,21.9,.,.
20182019,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,ES,3,N,,65.3,Low,63.9,Medium,58.4,Medium,,.,,,.,,62.4,,,,23.8,17.3,21.3,.,.
20182019,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,MS,3,N,,71.8,Medium,63.1,Medium,53.7,Medium,,.,,,.,,62.8,,,,26.2,17.1,19.6,.,.
20182019,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,ES,3,N,,70.5,Medium,68.2,Medium,73.0,Very High,,.,,,.,,70.8,,,,25.7,18.5,26.6,.,.
20182019,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,MS,3,N,,71.5,Medium,64.8,Medium,56.5,Medium,,.,,,.,,64.2,,,,26.1,17.6,20.6,.,.
20182019,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,ES,3,N,,67.5,Medium,64.9,Medium,63.0,High,,.,,,.,,65.2,,,,24.6,17.6,23.0,.,.
20182019,007,BELL,031,Bell County,,---District Total---,031,,,SESC,907,HS,2,N,,49.7,Low,64.4,Medium,.,,,65.4,Low,,96.5,High,59.8,,,,23.3,10.1,.,20.4,6.0
20182019,007,BELL,031,Bell County,,---District Total---,031,,,SESC,907,MS,4,N,,79.6,High,72.4,High,59.7,High,,.,,,.,,70.4,,,,29.0,19.6,21.8,.,.
20182019,007,BELL,031,Bell County,,---District Total---,031,,,SESC,907,ES,3,N,,66.2,Low,67.3,Medium,63.8,High,,.,,,.,,65.6,,,,24.1,18.2,23.3,.,.
20182019,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,MS,2,N,,56.8,Very Low,59.0,Low,49.8,Low,,.,,,.,,54.8,,,,20.7,16.0,18.2,.,.
20182019,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,HS,3,N,,54.2,Medium,72.0,High,.,,,63.3,Low,,100.0,Very High,62.7,,,,25.4,11.3,.,19.8,6.3
20182019,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,NKCES,905,ES,2,N,,57.9,Low,48.4,Very Low,44.4,Very Low,,.,,,.,,50.4,,,,21.1,13.1,16.2,.,.
20182019,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,NKCES,905,HS,3,N,,54.2,Medium,72.0,High,.,,,63.3,Low,,100.0,Very High,62.7,,,,25.4,11.3,.,19.8,6.3
20182019,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,NKCES,905,MS,2,N,,56.8,Very Low,59.0,Low,49.8,Low,,.,,,.,,54.8,,,,20.7,16.0,18.2,.,.
20182019,019,CAMPBELL,032,Bellevue Independent,,---District Total---,032,,,NKCES,905,ES,2,N,,57.9,Low,48.4,Very Low,44.4,Very Low,,.,,,.,,50.4,,,,21.1,13.1,16.2,.,.
