District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
121,Clark County,Trapp Elementary School,121100,ES,2012,10145.0,131.0,10.0,12.0
121,Clark County,Strode Station Elementary,121120,ES,2012,7147.0,636.0,37.0,13.0
125,Clay County,Big Creek Elementary,125040,ES,2012,,171.0,15.0,11.0
125,Clay County,Burning Springs Elementary,125070,ES,2012,9096.0,311.0,25.0,14.0
125,Clay County,Clay County Middle School,125095,MS,2012,9684.0,493.0,39.0,16.0
125,Clay County,Clay County High School,125100,HS,2012,8108.0,886.0,62.0,16.0
125,Clay County,Goose Rock Elementary,125200,ES,2012,9724.0,268.0,23.0,11.0
125,Clay County,Hacker Elementary School,125220,ES,2012,8732.0,269.0,21.0,10.0
125,Clay County,Manchester Elementary School,125500,ES,2012,8379.0,455.0,33.0,14.0
125,Clay County,Oneida Elementary School,125570,ES,2012,11877.0,127.0,11.0,8.0
125,Clay County,Paces Creek Elementary,125580,ES,2012,8883.0,312.0,23.0,13.0
131,Clinton County,Albany Elementary School,131015,ES,2012,7733.0,515.0,33.0,11.0
131,Clinton County,Foothills Academy,131016,HS,2012,,53.0,,
131,Clinton County,Clinton County Early Childhood Center,131020,ES,2012,12707.0,139.0,12.0,14.0
131,Clinton County,Clinton County Middle School,131045,MS,2012,7806.0,531.0,32.0,12.0
131,Clinton County,Clinton County High School,131050,HS,2012,8725.0,448.0,29.0,15.0
132,Cloverport Independent,Frederick Fraize High School,132010,HS,2012,6054.0,101.0,8.0,6.0
132,Cloverport Independent,William H Natcher Elementary School,132020,ES,2012,6165.0,172.0,12.0,7.0
132,Cloverport Independent,Frederick Fraize Middle School,132025,MS,2012,6177.0,79.0,5.0,10.0
133,Corbin Independent,Corbin Educational Center,133012,HS,2012,,43.0,,
133,Corbin Independent,Corbin Elementary,133017,ES,2012,6843.0,393.0,26.0,10.0
133,Corbin Independent,Corbin Intermediate,133018,MS,2012,5639.0,471.0,24.0,12.0
133,Corbin Independent,Corbin Intermediate,133018,ES,2012,5639.0,471.0,24.0,12.0
133,Corbin Independent,Corbin High School,133040,HS,2012,7435.0,743.0,44.0,10.0
133,Corbin Independent,Corbin Middle School,133050,MS,2012,6801.0,439.0,26.0,12.0
133,Corbin Independent,Corbin Primary,133070,ES,2012,7664.0,629.0,36.0,12.0
134,Covington Independent,Holmes Middle School,134017,MS,2012,9071.0,691.0,47.0,7.0
134,Covington Independent,Holmes High School,134019,HS,2012,13679.0,707.0,62.0,13.0
134,Covington Independent,John G Carlisle Elementary,134110,ES,2012,8080.0,450.0,30.0,8.0
134,Covington Independent,Latonia Elementary School,134115,ES,2012,6767.0,403.0,23.0,6.0
134,Covington Independent,Ninth District Elementary,134150,ES,2012,8744.0,356.0,23.0,8.0
134,Covington Independent,Glenn O Swing Elementary,134160,ES,2012,7653.0,405.0,28.0,8.0
134,Covington Independent,Sixth District Elementary School,134170,ES,2012,7876.0,438.0,28.0,9.0
135,Crittenden County,Crittenden County High School,135020,HS,2012,8907.0,341.0,24.0,11.0
135,Crittenden County,Crittenden County Middle School,135025,MS,2012,7524.0,285.0,18.0,12.0
135,Crittenden County,Crittenden County Elementary School,135100,ES,2012,6434.0,617.0,37.0,10.0
141,Cumberland County,Cumberland County Elementary School,141070,ES,2012,8877.0,453.0,30.0,15.0
141,Cumberland County,Cumberland County Middle School,141075,MS,2012,8291.0,210.0,14.0,9.0
141,Cumberland County,Cumberland County High School,141080,HS,2012,8575.0,313.0,19.0,12.0
143,Danville Independent,John W. Bate Middle School,143005,MS,2012,8192.0,372.0,25.0,9.0
143,Danville Independent,Danville High School,143030,HS,2012,9300.0,526.0,33.0,11.0
143,Danville Independent,Hogsett Elementary School,143040,ES,2012,10263.0,267.0,23.0,11.0
143,Danville Independent,Toliver Elementary School,143060,ES,2012,8805.0,290.0,21.0,10.0
143,Danville Independent,Jennie Rogers Elementary School,143110,ES,2012,8914.0,279.0,22.0,10.0
145,Daviess County,Apollo High School,145005,HS,2012,8623.0,1284.0,82.0,13.0
145,Daviess County,Meadow Lands Elementary School,145006,ES,2012,7734.0,520.0,32.0,9.0
145,Daviess County,East View Elementary School,145007,ES,2012,8540.0,422.0,28.0,13.0
145,Daviess County,F T Burns Middle School,145008,MS,2012,7314.0,806.0,52.0,12.0
145,Daviess County,Daviess County High School,145010,HS,2012,7939.0,1512.0,91.0,14.0
145,Daviess County,Southern Oaks Elementary School,145011,ES,2012,9110.0,360.0,22.0,10.0
145,Daviess County,Daviess County Middle School,145020,MS,2012,6888.0,853.0,52.0,12.0
145,Daviess County,Highland Elementary School,145025,ES,2012,7706.0,590.0,34.0,12.0
145,Daviess County,Deer Park Elementary School,145040,ES,2012,8280.0,499.0,32.0,14.0
145,Daviess County,Sorgho Elementary School,145070,ES,2012,9554.0,427.0,29.0,14.0
145,Daviess County,Audubon Elementary School,145085,ES,2012,7876.0,457.0,29.0,13.0
145,Daviess County,Tamarack Elementary School,145095,ES,2012,9366.0,416.0,28.0,10.0
145,Daviess County,West Louisville Elementary School,145130,ES,2012,9225.0,341.0,26.0,12.0
145,Daviess County,Whitesville Elementary School,145140,ES,2012,8346.0,358.0,24.0,12.0
145,Daviess County,F T Burns Elementary School,145145,ES,2012,9316.0,470.0,34.0,12.0
145,Daviess County,Country Heights Elementary School,145150,ES,2012,9467.0,365.0,25.0,16.0
