District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
147,Dayton Independent,Dayton High School,147010,HS,2012,9947,338,29,9
147,Dayton Independent,Lincoln Elementary School,147030,ES,2012,7621,501,35,15
149,East Bernstadt Independent,East Bernstadt Elementary School,149010,ES,2012,7118,500,29,15
149,East Bernstadt Independent,East Bernstadt Elementary School,149010,MS,2012,7118,500,29,15
151,Edmonson County,South Edmonson Elementary School,151020,ES,2012,7086,445,29,13
151,Edmonson County,Edmonson County 5/6 Center,151022,ES,2012,6906,293,16,12
151,Edmonson County,Edmonson County 5/6 Center,151022,MS,2012,6906,293,16,12
151,Edmonson County,Edmonson County Middle School,151050,MS,2012,6456,295,15,13
151,Edmonson County,Edmonson County High School,151060,HS,2012,7232,616,36,13
151,Edmonson County,Kyrock Elementary School,151080,ES,2012,9528,273,20,16
152,Elizabethtown Independent,Elizabethtown High School,152010,HS,2012,6875,761,42,13
152,Elizabethtown Independent,Helmwood Heights Elementary School,152015,ES,2012,8571,485,33,14
152,Elizabethtown Independent,Morningside Elementary School,152020,ES,2012,8038,556,34,13
152,Elizabethtown Independent,Talton K Stone Middle School,152035,MS,2012,6229,583,33,14
155,Elliott County,Isonville Elementary School,155140,ES,2012,9167,102,6,17
155,Elliott County,Lakeside Elementary School,155160,ES,2012,8004,192,13,10
155,Elliott County,Elliott County Intermediate School,155270,ES,2012,7693,278,17,10
155,Elliott County,Elliott County High School,155280,HS,2012,7600,479,38,13
155,Elliott County,Elliott County High School,155280,MS,2012,7600,479,38,13
156,Eminence Independent,Eminence High School,156010,HS,2012,7666,295,26,12
156,Eminence Independent,Eminence High School,156010,MS,2012,7666,295,26,12
156,Eminence Independent,Eminence Elementary School,156020,ES,2012,9975,248,16,11
157,Erlanger-Elsmere Independent,Lindeman Elementary School,157003,ES,2012,6791,306,16,13
157,Erlanger-Elsmere Independent,Arnett Elementary School,157005,ES,2012,10191,257,22,13
157,Erlanger-Elsmere Independent,Howell Elementary School,157010,ES,2012,6973,298,18,13
157,Erlanger-Elsmere Independent,Lloyd High School,157030,HS,2012,7627,534,38,9
157,Erlanger-Elsmere Independent,Miles Elementary School,157050,ES,2012,6081,294,16,8
157,Erlanger-Elsmere Independent,Tichenor Middle School,157060,MS,2012,6811,461,31,10
157,Erlanger-Elsmere Independent,Bartlett Educational Center,157061,HS,2012,,21,,
161,Estill County,Estill Springs Elementary,161011,ES,2012,5662,604,36,12
161,Estill County,Estill County Middle School,161085,MS,2012,5288,550,28,13
161,Estill County,Estill County High School,161090,HS,2012,69006,678,46,14
161,Estill County,West Irvine Intermediate,161280,ES,2012,5799,396,27,14
162,Fairview Independent,Fairview Elementary School,162011,ES,2012,7497,359,22,14
162,Fairview Independent,Fairview High School,162020,HS,2012,7124,507,29,11
162,Fairview Independent,Fairview High School,162020,MS,2012,7124,507,29,11
165,Fayette County,Arlington Elementary School,165005,ES,2012,10955,336,33,8
165,Fayette County,Ashland Elementary School,165007,ES,2012,8597,370,29,10
165,Fayette County,Veterans Park Elementary School,165012,ES,2012,7467,661,43,14
165,Fayette County,Beaumont Middle School,165015,MS,2012,6084,1088,68,15
165,Fayette County,Scapa At Bluegrass,165018,ES,2012,9039,276,26,13
165,Fayette County,Scapa At Bluegrass,165018,MS,2012,9039,276,26,13
165,Fayette County,Martin L King Acad for Excellence Alt,165021,HS,2012,,137,,
165,Fayette County,Crawford Middle School,165025,MS,2012,9876,407,41,11
165,Fayette County,Bryan Station Middle School,165030,MS,2012,7384,613,46,11
165,Fayette County,Cassidy Elementary School,165032,ES,2012,7499,639,47,12
165,Fayette County,Edythe Jones Hayes Middle School,165034,MS,2012,6493,919,67,10
165,Fayette County,Deep Springs Elementary School,165035,ES,2012,7326,501,37,2
165,Fayette County,Dixie Elementary Magnet School,165036,ES,2012,7196,577,40,8
165,Fayette County,Garden Springs Elementary School,165037,ES,2012,7526,574,39,16
165,Fayette County,Harrison Elementary School,165038,ES,2012,9651,392,32,7
165,Fayette County,Henry Clay High School,165039,HS,2012,5713,2107,123,12
165,Fayette County,Athens-Chilesburg Elementary,165045,ES,2012,6583,749,49,9
165,Fayette County,Booker T Washington Academy Elementary,165046,ES,2012,9737,594,51,6
165,Fayette County,Rosa Parks Elementary School,165052,ES,2012,6800,756,45,16
