SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,TOTEXP,Teacher Count,AVGEXPERIENCEYEARS,FILLER
20172018,014,BRECKINRIDGE,065,Breckinridge County,040,Custer Elementary School,065040,014065040,210072000140,GRREC,902,153,14,11,
20172018,014,BRECKINRIDGE,065,Breckinridge County,020,Hardinsburg Elementary School,065020,014065020,210072000138,GRREC,902,391,27,15,
20172018,014,BRECKINRIDGE,065,Breckinridge County,050,Irvington Elementary School,065050,014065050,210072000141,GRREC,902,251,24,11,
20172018,014,BRECKINRIDGE,065,Breckinridge County,,---District Total---,065,,,GRREC,902,1952,161,12,
20172018,015,BULLITT,071,Bullitt County,005,Bernheim Middle School,071005,015071005,210075000414,OVEC,906,242,27,9,
20172018,015,BULLITT,071,Bullitt County,010,Brooks Elementary School,071010,015071010,210075000144,OVEC,906,259,23,11,
20172018,015,BULLITT,071,Bullitt County,120,Bullitt Alternative Center,071120,015071120,210075000929,OVEC,906,58,6,10,
20172018,015,BULLITT,071,Bullitt County,015,Bullitt Central High School,071015,015071015,210075000145,OVEC,906,788,77,10,
20172018,015,BULLITT,071,Bullitt County,016,Bullitt East High School,071016,015071016,210075001409,OVEC,906,950,79,12,
20172018,015,BULLITT,071,Bullitt County,018,Bullitt Lick Middle School,071018,015071018,210075001410,OVEC,906,346,32,11,
20172018,015,BULLITT,071,Bullitt County,020,Cedar Grove Elementary,071020,015071020,210075000146,OVEC,906,321,27,12,
20172018,015,BULLITT,071,Bullitt County,060,Crossroads Elementary,071060,015071060,210075002286,OVEC,906,297,26,11,
20172018,015,BULLITT,071,Bullitt County,009,Eastside Middle School,071009,015071009,210075001975,OVEC,906,486,33,15,
20172018,015,BULLITT,071,Bullitt County,006,Freedom Elementary School,071006,015071006,210075001958,OVEC,906,243,22,11,
20172018,015,BULLITT,071,Bullitt County,025,Hebron Middle School,071025,015071025,210075000147,OVEC,906,335,26,13,
20172018,015,BULLITT,071,Bullitt County,030,Lebanon Junction Elementary,071030,015071030,210075000148,OVEC,906,257,22,12,
20172018,015,BULLITT,071,Bullitt County,055,MT. Washington Elementary,071055,015071055,210075000151,OVEC,906,315,29,11,
20172018,015,BULLITT,071,Bullitt County,050,MT. Washington Middle School,071050,015071050,210075000150,OVEC,906,394,23,17,
20172018,015,BULLITT,071,Bullitt County,045,Maryville Elementary School,071045,015071045,210075000149,OVEC,906,163,19,9,
20172018,015,BULLITT,071,Bullitt County,070,Nichols Elementary,071070,015071070,210075000153,OVEC,906,84,8,11,
20172018,015,BULLITT,071,Bullitt County,075,North Bullitt High School,071075,015071075,210075000154,OVEC,906,764,73,11,
20172018,015,BULLITT,071,Bullitt County,078,Old Mill Elementary School,071078,015071078,210075001578,OVEC,906,254,23,11,
20172018,015,BULLITT,071,Bullitt County,080,Overdale Elementary School,071080,015071080,210075000155,OVEC,906,207,21,10,
20172018,015,BULLITT,071,Bullitt County,065,Pleasant Grove Elementary School,071065,015071065,210075001305,OVEC,906,417,30,14,
20172018,015,BULLITT,071,Bullitt County,110,Riverview Opportunity Center,071110,015071110,210075000157,OVEC,906,118,8,15,
20172018,015,BULLITT,071,Bullitt County,090,Roby Elementary School,071090,015071090,210075000156,OVEC,906,203,21,10,
20172018,015,BULLITT,071,Bullitt County,008,Shepherdsville Elementary,071008,015071008,210075001974,OVEC,906,141,23,6,
20172018,015,BULLITT,071,Bullitt County,032,Spring Meadows,071032,015071032,210075002169,OVEC,906,47,2,24,
20172018,015,BULLITT,071,Bullitt County,007,Zoneton Middle School,071007,015071007,210075001973,OVEC,906,182,28,7,
20172018,015,BULLITT,071,Bullitt County,,---District Total---,071,,,OVEC,906,7598,694,11,
20172018,084,MERCER,072,Burgin Independent,030,Burgin Independent School,072030,084072030,210078002407,CKEC,901,358,35,10,
20172018,084,MERCER,072,Burgin Independent,,---District Total---,072,,,CKEC,901,358,35,10,
20172018,016,BUTLER,075,Butler County,030,Butler County High School,075030,016075030,210081000160,GRREC,902,432,39,11,
20172018,016,BUTLER,075,Butler County,032,Butler County Learning Center,075032,016075032,210081001977,GRREC,902,47,3,16,
20172018,016,BUTLER,075,Butler County,035,Butler County Middle School,075035,016075035,210081001697,GRREC,902,436,34,13,
20172018,016,BUTLER,075,Butler County,110,Green River School,075110,016075110,210081000163,GRREC,902,66,3,22,
20172018,016,BUTLER,075,Butler County,120,Morgantown Elementary School,075120,016075120,210081000164,GRREC,902,422,36,12,
20172018,016,BUTLER,075,Butler County,031,North Butler Elementary,075031,016075031,210081001976,GRREC,902,397,30,13,
20172018,016,BUTLER,075,Butler County,,---District Total---,075,,,GRREC,902,1742,139,13,
20172018,017,CALDWELL,081,Caldwell County,070,Caldwell County Elementary School,081070,017081070,210084000170,WKEC,908,311,25,12,
20172018,017,CALDWELL,081,Caldwell County,010,Caldwell County High School,081010,017081010,210084000166,WKEC,908,444,36,12,
20172018,017,CALDWELL,081,Caldwell County,020,Caldwell County Middle School,081020,017081020,210084000167,WKEC,908,370,27,14,
20172018,017,CALDWELL,081,Caldwell County,030,Caldwell County Primary School,081030,017081030,210084001660,WKEC,908,389,29,13,
20172018,017,CALDWELL,081,Caldwell County,,---District Total---,081,,,WKEC,908,1427,112,13,
20172018,018,CALLOWAY,085,Calloway County,096,Calloway County Alternative Program,085096,018085096,210087002370,WKEC,908,86,7,12,
20172018,018,CALLOWAY,085,Calloway County,095,Calloway County Day Treatment,085095,018085095,210087002366,WKEC,908,43,4,11,
20172018,018,CALLOWAY,085,Calloway County,020,Calloway County High School,085020,018085020,210087000171,WKEC,908,867,56,16,
20172018,018,CALLOWAY,085,Calloway County,055,Calloway County Middle School,085055,018085055,210087001411,WKEC,908,516,38,14,
20172018,018,CALLOWAY,085,Calloway County,075,Calloway County Preschool Center,085075,018085075,210087000931,WKEC,908,104,6,17,
20172018,018,CALLOWAY,085,Calloway County,025,East Calloway Elementary School,085025,018085025,210087000172,WKEC,908,191,18,11,
20172018,018,CALLOWAY,085,Calloway County,035,North Calloway Elementary School,085035,018085035,210087000173,WKEC,908,344,33,10,
20172018,018,CALLOWAY,085,Calloway County,045,Southwest Calloway Elementary School,085045,018085045,210087000174,WKEC,908,401,25,16,
20172018,018,CALLOWAY,085,Calloway County,,---District Total---,085,,,WKEC,908,2461,180,14,
20172018,019,CAMPBELL,091,Campbell County,016,Alexandria Educational Center,091016,019091016,210090001398,NKCES,905,76,3,25,
20172018,019,CAMPBELL,091,Campbell County,100,Campbell County High School,091100,019091100,210090000941,NKCES,905,1000,81,12,
20172018,019,CAMPBELL,091,Campbell County,011,Campbell County Middle School,091011,019091011,210090001306,NKCES,905,554,63,9,
20172018,019,CAMPBELL,091,Campbell County,019,Campbell Ridge Elementary,091019,019091019,210090001978,NKCES,905,380,29,13,
20172018,019,CAMPBELL,091,Campbell County,035,Crossroads Elementary School,091035,019091035,210090002198,NKCES,905,328,28,12,
20172018,019,CAMPBELL,091,Campbell County,013,Donald E. Cline Elementary School,091013,019091013,210090001335,NKCES,905,255,21,12,
20172018,019,CAMPBELL,091,Campbell County,050,Grant's Lick Elementary School,091050,019091050,210090000180,NKCES,905,242,18,13,
20172018,019,CAMPBELL,091,Campbell County,012,John W. Reiley Elementary School,091012,019091012,210090001320,NKCES,905,257,21,12,
20172018,019,CAMPBELL,091,Campbell County,,---District Total---,091,,,NKCES,905,3092,264,12,
20172018,109,TAYLOR,092,Campbellsville Independent,011,Campbellsville Eagle Academy,092011,109092011,210093001653,GRREC,902,97,5,19,
20172018,109,TAYLOR,092,Campbellsville Independent,010,Campbellsville Elementary School,092010,109092010,210093000182,GRREC,902,556,39,14,
20172018,109,TAYLOR,092,Campbellsville Independent,020,Campbellsville High School,092020,109092020,210093000183,GRREC,902,346,27,13,
20172018,109,TAYLOR,092,Campbellsville Independent,025,Campbellsville Middle School,092025,109092025,210093000184,GRREC,902,303,23,13,
20172018,109,TAYLOR,092,Campbellsville Independent,,---District Total---,092,,,GRREC,902,1105,80,14,
20172018,020,CARLISLE,095,Carlisle County,060,Carlisle County Elementary School,095060,020095060,210096000187,WKEC,908,260,25,10,
