SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,PERSON_PER_STU_FED,NONPERSON_PER_STU_FED,TOTAL_PER_STU_FED,PERSON_PER_STU_STATELOCAL,NONPERSON_PER_STU_STATELOCAL,TOTAL_PER_STU_STATELOCAL,TOTAL_PER_STU_ALLFUNDS
20182019,21,CARROLL,101,Carroll County,10,Kathryn Winn Primary,21101010,210099000189,OVEC,906,822,228,1050,12565,3070,15635,16685
20182019,21,CARROLL,101,Carroll County,5,Cartmell Elementary,21101005,210099000188,OVEC,906,541,195,736,9095,2180,11275,12011
20182019,22,CARTER,105,Carter County,340,Prichard Elementary School,22105340,210102000199,KEDC,903,549,338,887,7451,1110,8560,10376
20182019,22,CARTER,105,Carter County,500,West Carter County High School,22105500,210102000202,KEDC,903,372,506,878,9394,1666,11060,12832
20182019,22,CARTER,105,Carter County,505,West Carter Middle School,22105505,210102001661,KEDC,903,562,338,900,8462,1421,9883,11675
20182019,22,CARTER,105,Carter County,120,East Carter County High School,22105120,210102000194,KEDC,903,635,535,1170,8128,1431,9559,11612
20182019,22,CARTER,105,Carter County,52,Heritage Elementary School,22105052,210102001884,KEDC,903,707,362,1069,8079,1339,9422,11439
20182019,22,CARTER,105,Carter County,250,Olive Hill Elementary School,22105250,210102000198,KEDC,903,1022,339,1361,8738,1412,10150,12471
20182019,22,CARTER,105,Carter County,450,Star Elementary School,22105450,210102000200,KEDC,903,549,321,870,10215,1226,11440,13249
20182019,22,CARTER,105,Carter County,60,Carter City Elementary School,22105060,210102002356,KEDC,903,1127,317,1144,9532,2088,11621,14003
20182019,22,CARTER,105,Carter County,53,Tygart Creek Elementary School,22105053,210102002340,KEDC,903,594,327,921,8295,1380,9675,11535
20182019,22,CARTER,105,Carter County,130,East Carter Middle School,22105130,210102001698,KEDC,903,609,346,955,7355,1321,8676,10510
20182019,23,CASEY,111,Casey County,26,Jones Park Elementary,23111026,210105001981,SESC,907,1228,369,1597,9101,1961,11063,14048
20182019,23,CASEY,111,Casey County,15,Walnut Hill Elementary School,23111015,210105002211,SESC,907,1060,273,1334,8003,1780,9783,12419
20182019,23,CASEY,111,Casey County,190,Liberty Elementary School,23111190,210105000208,SESC,907,1126,231,1357,7395,1985,9380,11892
20182019,23,CASEY,111,Casey County,70,Casey County Middle School,23111070,210105001579,SESC,907,1201,216,1417,16276,2151,11539,14101
20182019,23,CASEY,111,Casey County,45,Casey County High School,23111045,210105000204,SESC,907,994,263,1256,5635,2204,11310,13777
20182019,5,BARREN,113,Caverna Independent,30,Caverna High School,5113030,210111000214,GRREC,902,178,115,293,11209,2655,13864,14815
20182019,5,BARREN,113,Caverna Independent,25,Caverna Elementary School,5113025,210111000213,GRREC,902,1672,159,1831,11386,2078,13463,14414
20182019,5,BARREN,113,Caverna Independent,26,Caverna Middle School,5113026,210111001914,GRREC,902,753,126,879,10699,1868,12567,13518
