SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,MEMBERSHIP,Total Spending per Student - All Fund Sources
20212022,14,BRECKINRIDGE,132,Cloverport Independent,30,Cloverport Independent School,132030,A1,279,16137
20212022,118,WHITLEY,133,Corbin Independent,12,Corbin Educational Center,133012,A6,37,
20212022,118,WHITLEY,133,Corbin Independent,16,Corbin Preschool,133016,A4,0,
20212022,118,WHITLEY,133,Corbin Independent,19,CORBIN ELEMENTARY SCHOOL,133019,A1,379,15838
20212022,118,WHITLEY,133,Corbin Independent,40,Corbin High School,133040,A1,826,16887
20212022,118,WHITLEY,133,Corbin Independent,50,Corbin Middle School,133050,A1,620,14773
20212022,118,WHITLEY,133,Corbin Independent,70,Corbin Primary,133070,A1,684,15683
20212022,118,WHITLEY,133,Corbin Independent,100,Corbin School of Innovation,133100,A5,214,
20212022,59,KENTON,134,Covington Independent,10,Biggs Early Childhood Education Ctr,134010,A4,0,
20212022,59,KENTON,134,Covington Independent,11,Covington Adult High School,134011,A5,25,
20212022,59,KENTON,134,Covington Independent,13,Transformational Learning Center,134013,A5,81,
20212022,59,KENTON,134,Covington Independent,17,Holmes Middle School,134017,A1,691,16246
20212022,59,KENTON,134,Covington Independent,19,Holmes High School,134019,A1,868,18270
20212022,59,KENTON,134,Covington Independent,110,John G Carlisle Elementary,134110,A1,336,17995
20212022,59,KENTON,134,Covington Independent,115,Latonia Elementary School,134115,A1,307,18519
20212022,59,KENTON,134,Covington Independent,150,Ninth District Elementary,134150,A1,354,18124
20212022,59,KENTON,134,Covington Independent,160,Glenn O Swing Elementary,134160,A1,402,17400
20212022,59,KENTON,134,Covington Independent,170,Sixth District Elementary School,134170,A1,385,18853
20212022,59,KENTON,134,Covington Independent,906,Chapman Vocational Education Center,134906,A2,0,
20212022,28,CRITTENDEN,135,Crittenden County,20,Crittenden County High School,135020,A1,413,17426
20212022,28,CRITTENDEN,135,Crittenden County,22,Pathway Academy High School,135022,A5,1,
20212022,28,CRITTENDEN,135,Crittenden County,25,Crittenden County Middle School,135025,A1,317,13500
20212022,28,CRITTENDEN,135,Crittenden County,100,Crittenden County Elementary School,135100,A1,590,14900
20212022,29,CUMBERLAND,141,Cumberland County,70,Cumberland County Elementary School,141070,A1,441,26815
20212022,29,CUMBERLAND,141,Cumberland County,75,Cumberland County Middle School,141075,A1,199,29373
20212022,29,CUMBERLAND,141,Cumberland County,80,Cumberland County High School,141080,A1,289,28172
20212022,11,BOYLE,143,Danville Independent,3,Mary G. Hogsett Primary School,143003,A1,273,15414
20212022,11,BOYLE,143,Danville Independent,5,John W. Bate Middle School,143005,A1,380,15953
20212022,11,BOYLE,143,Danville Independent,10,Edna L. Toliver Intermediate School,143010,A1,517,16528
20212022,11,BOYLE,143,Danville Independent,15,Anchor Academy,143015,A5,94,
20212022,11,BOYLE,143,Danville Independent,30,Danville High School,143030,A1,439,18417
20212022,11,BOYLE,143,Danville Independent,350,Sunrise Academy,143350,A6,25,
