Fiscal Year,001 Adair County,Rank,Years,,I,II,III
2023 - 2024,005 Allen County,V,22,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,23,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,24,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,25,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,26,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,27,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,28,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,29,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,30,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,31,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,32,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,33,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,34,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,35,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,36,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,37,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,38,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,39,,"33,019.00",0.00,0.00
2023 - 2024,005 Allen County,V,40,,"33,019.00",0.00,0.00
Fiscal Year,006 Anchorage Independent,Rank,Years,,I,II,III
2023 - 2024,006 Anchorage Independent,I,0,,"57,141.00","59,716.00",0.00
2023 - 2024,006 Anchorage Independent,I,1,,"58,330.00","60,903.00",0.00
2023 - 2024,006 Anchorage Independent,I,2,,"59,516.00","63,282.00",0.00
2023 - 2024,006 Anchorage Independent,I,3,,"60,706.00","64,483.00",0.00
2023 - 2024,006 Anchorage Independent,I,4,,"61,894.00","65,704.00",0.00
2023 - 2024,006 Anchorage Independent,I,5,,"63,084.00","66,923.00",0.00
2023 - 2024,006 Anchorage Independent,I,6,,"64,280.00","68,144.00",0.00
2023 - 2024,006 Anchorage Independent,I,7,,"65,500.00","69,364.00",0.00
2023 - 2024,006 Anchorage Independent,I,8,,"66,516.00","70,585.00",0.00
2023 - 2024,006 Anchorage Independent,I,9,,"67,737.00","71,810.00",0.00
2023 - 2024,006 Anchorage Independent,I,10,,"68,959.00","73,029.00",0.00
2023 - 2024,006 Anchorage Independent,I,11,,"72,417.00","74,249.00",0.00
2023 - 2024,006 Anchorage Independent,I,12,,"74,044.00","75,469.00",0.00
2023 - 2024,006 Anchorage Independent,I,13,,"75,672.00","76,691.00",0.00
2023 - 2024,006 Anchorage Independent,I,14,,"77,301.00","77,911.00",0.00
2023 - 2024,006 Anchorage Independent,I,15,,"78,930.00","79,134.00",0.00
2023 - 2024,006 Anchorage Independent,I,16,,"80,556.00","80,761.00",0.00
2023 - 2024,006 Anchorage Independent,I,17,,"82,184.00","82,591.00",0.00
2023 - 2024,006 Anchorage Independent,I,18,,"83,813.00","84,423.00",0.00
2023 - 2024,006 Anchorage Independent,I,19,,"84,627.00","85,237.00",0.00
2023 - 2024,006 Anchorage Independent,I,20,,"86,255.00","86,867.00",0.00
2023 - 2024,006 Anchorage Independent,I,21,,"86,456.00","87,678.00",0.00
2023 - 2024,006 Anchorage Independent,I,22,,"86,662.00","88,491.00",0.00
2023 - 2024,006 Anchorage Independent,I,23,,"86,764.00","89,305.00",0.00
2023 - 2024,006 Anchorage Independent,I,24,,"86,867.00","90,119.00",0.00
2023 - 2024,006 Anchorage Independent,I,25,,"87,697.00","91,342.00",0.00
2023 - 2024,006 Anchorage Independent,I,26,,"87,882.00","92,562.00",0.00
2023 - 2024,006 Anchorage Independent,I,27,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,28,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,29,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,30,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,31,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,32,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,33,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,34,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,35,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,36,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,37,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,38,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,39,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,I,40,,"89,508.00","93,577.00",0.00
2023 - 2024,006 Anchorage Independent,II,0,,"50,880.00","52,781.00",0.00
2023 - 2024,006 Anchorage Independent,II,1,,"51,870.00","53,573.00",0.00
2023 - 2024,006 Anchorage Independent,II,2,,"52,860.00","54,366.00",0.00
2023 - 2024,006 Anchorage Independent,II,3,,"53,851.00","55,158.00",0.00
2023 - 2024,006 Anchorage Independent,II,4,,"55,236.00","55,949.00",0.00
2023 - 2024,006 Anchorage Independent,II,5,,"56,426.00","57,534.00",0.00
2023 - 2024,006 Anchorage Independent,II,6,,"57,418.00","59,121.00",0.00
2023 - 2024,006 Anchorage Independent,II,7,,"58,607.00","60,706.00",0.00
2023 - 2024,006 Anchorage Independent,II,8,,"59,992.00","62,292.00",0.00
2023 - 2024,006 Anchorage Independent,II,9,,"61,578.00","63,875.00",0.00
2023 - 2024,006 Anchorage Independent,II,10,,"63,163.00","65,500.00",0.00
2023 - 2024,006 Anchorage Independent,II,11,,"66,394.00","68,349.00",0.00
2023 - 2024,006 Anchorage Independent,II,12,,"68,429.00","69,975.00",0.00
2023 - 2024,006 Anchorage Independent,II,13,,"70,059.00","71,605.00",0.00
2023 - 2024,006 Anchorage Independent,II,14,,"71,687.00","73,233.00",0.00
2023 - 2024,006 Anchorage Independent,II,15,,"73,312.00","74,861.00",0.00
2023 - 2024,006 Anchorage Independent,II,16,,"75,755.00","78,522.00",0.00
2023 - 2024,006 Anchorage Independent,II,17,,"78,604.00","80,556.00",0.00
2023 - 2024,006 Anchorage Independent,II,18,,"79,010.00","80,760.00",0.00
2023 - 2024,006 Anchorage Independent,II,19,,"79,418.00","80,962.00",0.00
2023 - 2024,006 Anchorage Independent,II,20,,"80,233.00","81,777.00",0.00
2023 - 2024,006 Anchorage Independent,II,21,,"80,638.00","82,184.00",0.00
2023 - 2024,006 Anchorage Independent,II,22,,"80,841.00","82,591.00",0.00
2023 - 2024,006 Anchorage Independent,II,23,,"81,045.00","82,997.00",0.00
2023 - 2024,006 Anchorage Independent,II,24,,"81,250.00","83,203.00",0.00
2023 - 2024,006 Anchorage Independent,II,25,,"81,656.00","83,406.00",0.00
2023 - 2024,006 Anchorage Independent,II,26,,"81,858.00","83,813.00",0.00
2023 - 2024,006 Anchorage Independent,II,27,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,28,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,29,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,30,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,31,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,32,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,33,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,34,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,35,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,36,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,37,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,38,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,39,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,II,40,,"83,406.00","85,441.00",0.00
2023 - 2024,006 Anchorage Independent,III,0,,"45,252.00","46,836.00",0.00
2023 - 2024,006 Anchorage Independent,III,1,,"46,044.00","47,829.00",0.00
2023 - 2024,006 Anchorage Independent,III,2,,"46,836.00","48,820.00",0.00
2023 - 2024,006 Anchorage Independent,III,3,,"47,630.00","49,811.00",0.00
2023 - 2024,006 Anchorage Independent,III,4,,"49,215.00","50,799.00",0.00
2023 - 2024,006 Anchorage Independent,III,5,,"50,603.00","51,790.00",0.00
2023 - 2024,006 Anchorage Independent,III,6,,"51,988.00","53,375.00",0.00
2023 - 2024,006 Anchorage Independent,III,7,,"53,178.00","54,563.00",0.00
2023 - 2024,006 Anchorage Independent,III,8,,"54,563.00","55,754.00",0.00
2023 - 2024,006 Anchorage Independent,III,9,,"55,949.00","56,940.00",0.00
2023 - 2024,006 Anchorage Independent,III,10,,"57,339.00","59,516.00",0.00
2023 - 2024,006 Anchorage Independent,III,11,,"60,506.00","60,706.00",0.00
2023 - 2024,006 Anchorage Independent,III,12,,"61,300.00","61,698.00",0.00
2023 - 2024,006 Anchorage Independent,III,13,,"62,686.00","62,886.00",0.00
2023 - 2024,006 Anchorage Independent,III,14,,"62,886.00","64,076.00",0.00
2023 - 2024,006 Anchorage Independent,III,15,,"63,875.00","65,297.00",0.00
2023 - 2024,006 Anchorage Independent,III,16,,"66,111.00","67,737.00",0.00
2023 - 2024,006 Anchorage Independent,III,17,,"67,534.00","68,959.00",0.00
2023 - 2024,006 Anchorage Independent,III,18,,"68,959.00","70,181.00",0.00
2023 - 2024,006 Anchorage Independent,III,19,,"70,384.00","71,400.00",0.00
2023 - 2024,006 Anchorage Independent,III,20,,"71,810.00","72,622.00",0.00
2023 - 2024,006 Anchorage Independent,III,21,,"73,233.00","73,843.00",0.00
2023 - 2024,006 Anchorage Independent,III,22,,"74,656.00","75,061.00",0.00
2023 - 2024,006 Anchorage Independent,III,23,,"76,082.00","76,283.00",0.00
2023 - 2024,006 Anchorage Independent,III,24,,"77,505.00","77,911.00",0.00
2023 - 2024,006 Anchorage Independent,III,25,,"78,930.00","79,134.00",0.00
2023 - 2024,006 Anchorage Independent,III,26,,"80,355.00","80,556.00",0.00
2023 - 2024,006 Anchorage Independent,III,27,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,28,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,29,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,30,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,31,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,32,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,33,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,34,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,35,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,36,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,37,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,38,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,39,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,III,40,,"81,166.00","81,371.00",0.00
2023 - 2024,006 Anchorage Independent,IV,0,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,1,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,2,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,3,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,4,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,5,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,6,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,7,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,8,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,9,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,10,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,11,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,12,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,13,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,14,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,15,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,16,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,17,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,18,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,19,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,20,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,21,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,22,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,23,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,24,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,25,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,26,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,27,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,28,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,29,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,30,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,31,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,32,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,33,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,34,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,35,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,36,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,37,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,38,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,39,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,IV,40,,"36,794.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,0,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,1,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,2,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,3,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,4,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,5,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,6,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,7,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,8,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,9,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,10,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,11,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,12,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,13,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,14,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,15,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,16,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,17,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,18,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,19,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,20,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,21,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,22,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,23,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,24,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,25,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,26,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,27,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,28,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,29,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,30,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,31,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,32,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,33,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,34,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,35,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,36,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,37,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,38,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,39,,"34,437.00",0.00,0.00
2023 - 2024,006 Anchorage Independent,V,40,,"34,437.00",0.00,0.00
Fiscal Year,011 Anderson County,Rank,Years,,I,II,III
2023 - 2024,011 Anderson County,I,0,,"48,080.00","52,076.00",0.00
2023 - 2024,011 Anderson County,I,1,,"49,007.00","52,929.00",0.00
2023 - 2024,011 Anderson County,I,2,,"49,933.00","53,782.00",0.00
2023 - 2024,011 Anderson County,I,3,,"50,860.00","54,636.00",0.00
2023 - 2024,011 Anderson County,I,4,,"51,785.00","55,490.00",0.00
2023 - 2024,011 Anderson County,I,5,,"52,713.00","56,341.00",0.00
2023 - 2024,011 Anderson County,I,6,,"53,640.00","57,197.00",0.00
2023 - 2024,011 Anderson County,I,7,,"54,564.00","58,051.00",0.00
2023 - 2024,011 Anderson County,I,8,,"55,492.00","58,904.00",0.00
2023 - 2024,011 Anderson County,I,9,,"56,417.00","59,756.00",0.00
2023 - 2024,011 Anderson County,I,10,,"57,344.00","60,611.00",0.00
2023 - 2024,011 Anderson County,I,11,,"58,271.00","61,463.00",0.00
2023 - 2024,011 Anderson County,I,12,,"59,196.00","62,374.00",0.00
2023 - 2024,011 Anderson County,I,13,,"60,124.00","63,853.00",0.00
2023 - 2024,011 Anderson County,I,14,,"61,051.00","64,340.00",0.00
2023 - 2024,011 Anderson County,I,15,,"61,977.00","64,878.00",0.00
2023 - 2024,011 Anderson County,I,16,,"62,902.00","65,729.00",0.00
2023 - 2024,011 Anderson County,I,17,,"63,829.00","66,583.00",0.00
2023 - 2024,011 Anderson County,I,18,,"64,755.00","67,437.00",0.00
2023 - 2024,011 Anderson County,I,19,,"65,682.00","68,290.00",0.00
2023 - 2024,011 Anderson County,I,20,,"66,606.00","69,143.00",0.00
2023 - 2024,011 Anderson County,I,21,,"67,535.00","69,998.00",0.00
2023 - 2024,011 Anderson County,I,22,,"68,461.00","70,852.00",0.00
2023 - 2024,011 Anderson County,I,23,,"69,388.00","71,706.00",0.00
2023 - 2024,011 Anderson County,I,24,,"70,313.00","72,557.00",0.00
2023 - 2024,011 Anderson County,I,25,,"71,240.00","73,411.00",0.00
2023 - 2024,011 Anderson County,I,26,,"72,167.00","74,264.00",0.00
2023 - 2024,011 Anderson County,I,27,,"73,093.00","75,118.00",0.00
2023 - 2024,011 Anderson County,I,28,,"74,018.00","75,972.00",0.00
2023 - 2024,011 Anderson County,I,29,,"74,945.00","76,826.00",0.00
2023 - 2024,011 Anderson County,I,30,,"75,870.00","77,681.00",0.00
2023 - 2024,011 Anderson County,I,31,,"75,870.00","77,681.00",0.00
2023 - 2024,011 Anderson County,I,32,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,33,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,34,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,35,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,36,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,37,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,38,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,39,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,I,40,,"76,800.00","78,532.00",0.00
2023 - 2024,011 Anderson County,II,0,,"44,018.00",0.00,0.00
2023 - 2024,011 Anderson County,II,1,,"44,824.00",0.00,0.00
2023 - 2024,011 Anderson County,II,2,,"45,630.00",0.00,0.00
2023 - 2024,011 Anderson County,II,3,,"46,438.00",0.00,0.00
2023 - 2024,011 Anderson County,II,4,,"47,244.00",0.00,0.00
2023 - 2024,011 Anderson County,II,5,,"48,051.00",0.00,0.00
2023 - 2024,011 Anderson County,II,6,,"48,858.00",0.00,0.00
2023 - 2024,011 Anderson County,II,7,,"49,665.00",0.00,0.00
2023 - 2024,011 Anderson County,II,8,,"50,471.00",0.00,0.00
2023 - 2024,011 Anderson County,II,9,,"51,279.00",0.00,0.00
2023 - 2024,011 Anderson County,II,10,,"52,086.00",0.00,0.00
2023 - 2024,011 Anderson County,II,11,,"52,893.00",0.00,0.00
2023 - 2024,011 Anderson County,II,12,,"53,697.00",0.00,0.00
2023 - 2024,011 Anderson County,II,13,,"54,507.00",0.00,0.00
2023 - 2024,011 Anderson County,II,14,,"55,312.00",0.00,0.00
2023 - 2024,011 Anderson County,II,15,,"56,120.00",0.00,0.00
2023 - 2024,011 Anderson County,II,16,,"56,927.00",0.00,0.00
2023 - 2024,011 Anderson County,II,17,,"57,734.00",0.00,0.00
2023 - 2024,011 Anderson County,II,18,,"58,539.00",0.00,0.00
2023 - 2024,011 Anderson County,II,19,,"59,347.00",0.00,0.00
2023 - 2024,011 Anderson County,II,20,,"60,152.00",0.00,0.00
2023 - 2024,011 Anderson County,II,21,,"60,961.00",0.00,0.00
2023 - 2024,011 Anderson County,II,22,,"61,768.00",0.00,0.00
2023 - 2024,011 Anderson County,II,23,,"62,574.00",0.00,0.00
2023 - 2024,011 Anderson County,II,24,,"63,380.00",0.00,0.00
2023 - 2024,011 Anderson County,II,25,,"64,187.00",0.00,0.00
2023 - 2024,011 Anderson County,II,26,,"64,996.00",0.00,0.00
2023 - 2024,011 Anderson County,II,27,,"65,802.00",0.00,0.00
2023 - 2024,011 Anderson County,II,28,,"66,606.00",0.00,0.00
2023 - 2024,011 Anderson County,II,29,,"67,416.00",0.00,0.00
2023 - 2024,011 Anderson County,II,30,,"68,222.00",0.00,0.00
2023 - 2024,011 Anderson County,II,31,,"68,222.00",0.00,0.00
2023 - 2024,011 Anderson County,II,32,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,33,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,34,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,35,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,36,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,37,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,38,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,39,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,II,40,,"69,030.00",0.00,0.00
2023 - 2024,011 Anderson County,III,0,,"39,953.00",0.00,0.00
2023 - 2024,011 Anderson County,III,1,,"40,640.00",0.00,0.00
2023 - 2024,011 Anderson County,III,2,,"41,329.00",0.00,0.00
