Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
571,WARREN CO,24836.00,9.80,+,27271.00,7.52,+,29321.00,0.13,+,29359.00,2.08,+,29971.00,3.56,+,31038.00,2.45,+,31797.00,2.70,+,32657.00,3.05,+,33654.00,1.44,+,34138.00,2.39,+,34953.00,2.08,+,35679.85,3.17,+,36811.99,2.30,+,37660.35,3.88,+,39120.29,2.03,+,39913.77,3.58,+,41340.88,1.51,+,41963.51,8.67,+,45275.06,0.48,+,45494.28,1.55,+,46199.47,1.84,-,45347.65,0.31,+,45486.41,0.67,+,45791.79,1.07,+,46281.82,0.99,+,46738.18,1.72,+,47542.90,0.30,+,47685.23,2.22,+,48743.62,6.08,+,49891.40,0.20,+,49989.59,1.14,+,50559.49,1.78,+,51460.20,3.02,+,53012.49,4.67,+,55485.76,,,,,,,
575,WASHINGTON CO,25542.00,15.68,+,29548.00,3.68,+,30636.00,1.91,+,31221.00,2.68,+,32058.00,1.45,+,32522.00,0.75,+,32767.00,1.89,+,33386.00,2.30,+,34155.00,1.50,+,34666.00,0.14,+,34715.00,1.90,+,35373.86,3.85,+,36735.28,2.35,+,37597.06,5.90,+,39813.43,0.73,-,39523.58,4.63,+,41353.18,2.64,+,42444.69,3.19,+,44916.58,0.23,+,45021.95,2.81,+,46284.99,1.63,+,47040.70,0.80,+,47415.10,0.98,+,47881.31,0.59,+,48161.47,0.16,+,48240.42,1.45,+,48939.39,1.37,-,48269.39,5.14,+,50752.37,14.47,+,51929.37,1.52,+,52720.23,0.37,+,52913.24,1.97,+,53958.03,7.73,-,58131.03,0.37,-,57915.75,,,,,,,
581,WAYNE CO,24916.00,8.77,+,27100.00,8.93,+,29521.00,1.99,+,30108.00,1.00,+,30409.00,1.55,+,30880.00,4.37,+,32230.00,0.83,+,32498.00,2.13,+,33191.00,2.81,+,34123.00,1.67,+,34692.00,1.70,+,35282.59,4.04,+,36707.80,3.53,+,38003.38,4.70,+,39788.80,2.72,+,40871.56,4.44,+,42685.18,2.65,+,43817.28,11.97,+,46988.58,2.09,+,47969.46,2.35,+,49096.27,1.61,-,48307.04,0.81,-,47916.80,2.33,+,49031.28,1.84,-,48127.16,1.62,+,48907.36,2.70,+,50229.27,0.24,+,50351.25,0.20,-,50252.14,4.33,-,49617.83,0.46,+,49847.71,1.27,+,50482.39,2.15,-,49398.13,0.15,-,49324.57,1.39,-,50011.81,,,,,,,
585,WEBSTER CO,25641.00,11.33,+,28546.00,3.62,+,29580.00,0.48,+,29722.00,0.79,+,29956.00,1.75,+,30480.00,1.71,+,31001.00,4.76,+,32478.00,4.38,+,33900.00,1.22,+,34312.00,0.44,+,34462.00,2.52,+,35330.20,0.37,+,35462.34,3.58,+,36730.36,0.39,-,36587.39,3.30,+,37796.22,2.33,+,38676.44,2.80,+,39759.13,0.73,+,42136.92,1.43,+,42740.91,1.99,+,43591.72,0.31,-,43457.23,1.28,+,44014.04,0.14,+,44076.77,0.16,-,44007.94,1.58,+,44704.01,2.10,+,45641.25,0.66,-,45338.64,1.03,+,45804.03,0.58,-,45778.39,0.62,-,45495.71,3.11,+,46912.30,0.68,-,46592.09,1.93,+,47491.66,2.56,+,48705.56,,,,,,,
586,WEST POINT,24890.00,9.78,+,27325.00,5.35,+,28788.00,1.01,-,28499.00,3.60,+,29524.00,2.40,+,30234.00,4.81,+,31687.00,2.87,+,32596.00,2.90,-,31678.00,9.62,-,28898.00,0.03,+,28908.00,11.92,+,32354.90,0.52,-,32186.33,1.28,-,31774.00,8.58,-,29046.84,12.27,+,32610.12,1.10,+,32969.60,3.02,+,33966.64,15.69,+,36942.64,2.01,+,37685.10,5.49,+,39755.54,1.44,-,39182.03,2.00,+,39964.73,0.87,-,39616.00,2.84,+,40739.50,0.29,+,40859.25,2.75,+,41982.37,2.51,+,43035.70,2.17,+,43967.78,3.98,-,43407.84,2.13,+,44332.75,19.82,+,merged,,,merged, ,,, ,,,,,,,,,
591,WHITLEY CO,24780.00,14.46,+,28364.00,5.14,+,29823.00,2.04,+,30432.00,0.85,+,30692.00,4.28,+,32007.00,0.75,+,32248.00,3.98,+,33533.00,0.28,-,33440.00,2.24,+,34189.00,2.84,+,35161.00,2.73,+,36121.21,3.79,+,37491.60,1.95,+,38221.46,2.93,+,39339.46,2.13,+,40178.99,3.55,+,41605.61,1.85,+,42377.18,15.36,+,45864.82,1.04,+,46344.04,1.99,+,47265.10,1.74,+,48088.57,0.28,-,47955.58,0.95,+,48413.42,1.04,+,48915.00,1.86,+,49826.94,2.56,+,51103.57,1.21,+,51724.00,0.67,+,52071.13,0.31,+,52428.65,0.06,-,52398.02,13.27,-,53119.57,0.34,+,53124.03,1.58,#REF!,53964.23,1.78,#REF!,54922.24,,,,,,,
592,WILLIAMSBURG,24550.00,15.35,+,28318.00,7.36,+,30403.00,4.33,+,31718.00,1.75,+,32273.00,2.07,+,32940.00,0.97,+,33259.00,3.13,+,34300.00,3.20,-,33238.00,4.63,+,34777.00,3.75,+,36081.00,0.23,+,36162.52,4.63,+,37835.26,2.57,-,36863.59,4.41,+,38488.37,3.62,+,39883.47,2.01,+,40685.46,0.69,+,40967.75,33.22,+,45249.73,0.17,-,45172.86,1.13,-,44662.44,1.29,-,44086.83,2.50,-,42985.38,0.89,+,43366.69,4.42,+,45284.64,2.67,-,44075.80,1.95,+,44934.54,0.47,+,45144.42,1.55,+,45842.48,14.78,-,45539.86,0.59,-,45270.44,0.39,+,45445.92,0.34,+,45599.96,3.53,#REF!,47210.71,0.19,#REF!,47299.89,,,,,,,
593,WILLIAMSTOWN,24483.00,8.77,+,26630.00,8.19,+,28811.00,1.68,+,29296.00,2.65,+,30071.00,0.06,-,30052.00,2.56,+,30822.00,3.90,+,32025.00,4.29,+,33400.00,0.67,+,33625.00,5.38,+,35435.00,1.35,-,34958.34,1.96,+,35644.76,0.13,+,35690.58,1.25,+,36137.47,5.73,+,38207.85,4.73,+,40013.42,4.03,+,41627.43,4.07,+,44100.64,1.59,-,43401.27,1.90,+,44226.55,2.08,+,45146.42,1.10,+,45642.12,0.08,-,45607.32,0.68,+,45917.87,1.36,-,45291.46,1.48,+,45961.78,0.49,-,45737.48,0.95,+,46169.85,#REF!,-,45715.86,2.71,+,46953.18,2.16,-,45938.26,0.26,+,46057.09,2.76,#REF!,44787.15,9.30,#REF!,48952.67,,,,,,,
595,WOLFE CO,25299.00,10.59,+,27977.00,7.74,+,30143.00,2.98,+,31041.00,0.77,+,31280.00,3.18,+,32274.00,1.80,-,31703.00,0.67,-,31493.00,0.61,+,31685.00,0.87,-,31413.00,0.92,+,31702.00,1.87,+,32295.24,3.51,+,33428.65,3.37,+,34554.03,7.15,+,37025.31,3.38,+,38276.26,4.46,+,39982.19,6.13,+,42433.35,13.08,+,46324.47,0.88,+,46733.65,0.14,+,46801.28,0.75,-,46449.03,1.80,+,47287.20,1.08,+,47796.43,1.83,+,48671.74,2.27,+,49778.77,2.63,#REF!,51086.29,0.47,+,51327.54,0.23,+,51445.87,0.90,+,51911.04,1.29,+,52578.31,0.88,-,52115.90,0.28,+,52260.16,5.08,#REF!,54912.55,0.65,#REF!,55267.23,,,,,,,
601,WOODFORD CO,25450.00,9.56,+,27883.00,9.84,+,30627.00,0.01,-,30625.00,1.19,+,30988.00,1.02,+,31304.00,0.04,-,31292.00,4.30,+,32639.00,2.85,+,33570.00,0.70,+,33806.00,2.58,+,34677.00,0.67,+,34908.63,3.07,+,35979.19,5.45,+,37939.44,6.47,+,40392.60,3.29,+,41720.11,2.60,+,42803.68,2.60,+,43914.43,12.38,+,46780.70,1.81,+,47628.50,1.38,+,48287.20,2.22,-,47213.35,4.24,+,49213.90,0.79,+,49602.05,0.17,-,49517.64,0.48,+,49754.93,1.85,+,50674.76,2.15,+,51761.99,1.09,+,52323.77,0.56,+,52617.71,0.06,+,52649.58,0.74,+,53037.63,2.32,+,54265.58,1.19,#REF!,54910.24,2.73,#REF!,56410.94,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
